"","Species","Genus","Subspecies","ValidBinomial","Year"
"201927","phyllides","Polyommatus",NA,"Polyommatus phyllides",1886
"201936","phyllides","Polyommatus","askhabadica","Polyommatus phyllides",1960
"201937","phyllides","Polyommatus","kentauensis","Polyommatus phyllides",1990
"201938","phyllides","Polyommatus","urumbash","Polyommatus phyllides",2008
"201939","phyllis","Polyommatus",NA,"Polyommatus phyllis",1877
"201957","phyllis","Polyommatus","dagestanica","Polyommatus phyllis",1960
"201958","phyllis","Polyommatus","vanensis","Polyommatus phyllis",1958
"201959","phyllis","Polyommatus","wolfgangeckweiler","Polyommatus phyllis",2000
"201960","phyllis","Polyommatus","zeituna","Polyommatus phyllis",1960
"201961","pierceae","Polyommatus",NA,"Polyommatus pierceae",2002
"201965","pierinoi","Polyommatus",NA,"Polyommatus pierinoi",1995
"201967","pljushtchi","Polyommatus",NA,"Polyommatus pljushtchi",1993
"201970","poseidon","Polyommatus",NA,"Polyommatus poseidon",1851
"201974","poseidon","Polyommatus","mesopotamica","Polyommatus poseidon",1892
"201975","poseidonides","Polyommatus",NA,"Polyommatus poseidonides",1886
"201979","poseidonides","Polyommatus","danilevskyi","Polyommatus poseidonides",1994
"201980","poseidonides","Polyommatus","evansi","Polyommatus poseidonides",1956
"201981","poseidonides","Polyommatus","florenciae","Polyommatus poseidonides",1926
"201982","poseidonides","Polyommatus","rickmersi","Polyommatus poseidonides",1956
"201985","posthumus","Polyommatus",NA,"Polyommatus posthumus",1877
"201988","posthumus","Polyommatus","birunii","Polyommatus posthumus",1998
"201996","praeactinides","Polyommatus",NA,"Polyommatus praeactinides",1960
"201998","pseuderos","Polyommatus",NA,"Polyommatus pseuderos",1879
"202003","pseuderos","Polyommatus","nepalensis","Polyommatus pseuderos",1961
"202005","pseudorjabovi","Polyommatus",NA,"Polyommatus pseudorjabovi",2015
"202009","pulchella","Polyommatus","","Polyommatus pulchella",1951
"202010","pulchella","Polyommatus","chaburobata","Polyommatus pulchella",1992
"202019","putnami","Polyommatus",NA,"Polyommatus putnami",2002
"202029","ripartii","Polyommatus",NA,"Polyommatus ripartii",1830
"202061","ripartii","Polyommatus","colemani","Polyommatus ripartii",2002
"202062","ripartii","Polyommatus","ovchinnikovi","Polyommatus ripartii",2002
"202063","ripartii","Polyommatus","paralcestis","Polyommatus ripartii",1960
"202064","ripartii","Polyommatus","tengritaghicus","Polyommatus ripartii",2001
"202066","rjabovianus","Polyommatus",NA,"Polyommatus rjabovianus",1980
"202067","rjabovianus","Polyommatus","masul","Polyommatus rjabovianus",2015
"202071","rovshani","Polyommatus",NA,"Polyommatus rovshani",1994
"202103","sephidarensis","Polyommatus",NA,"Polyommatus sephidarensis",2008
"202104","shahkuhensis","Polyommatus",NA,"Polyommatus shahkuhensis",2008
"202105","shahrami","Polyommatus",NA,"Polyommatus shahrami",2001
"202110","shirkuhensis","Polyommatus",NA,"Polyommatus shirkuhensis",2001
"202114","sigberti","Polyommatus",NA,"Polyommatus sigberti",2000
"202129","stempfferi","Polyommatus",NA,"Polyommatus stempfferi",1938
