"","Species","Genus","Subspecies","ValidBinomial","Year"
"2","nicippe","Abaeis",NA,"Abaeis nicippe",1779
"22","nicippiformis","Abaeis",NA,"Abaeis nicippiformis",1947
"26","abana","Abananote",NA,"Abananote abana",1868
"28","abana","Abananote","capnodes","Abananote abana",1913
"30","erinome","Abananote",NA,"Abananote erinome",1861
"36","erinome","Abananote","mathani","Abananote erinome",1917
"37","erinome","Abananote","testacea","Abananote erinome",1868
"38","euryleuca","Abananote",NA,"Abananote euryleuca",1910
"39","hylonome","Abananote",NA,"Abananote hylonome",1844
"44","hylonome","Abananote","basilia","Abananote hylonome",1995
"45","intensa","Abananote",NA,"Abananote intensa",1910
"47","intensa","Abananote","gerardolamas","Abananote intensa",2007
"49","arctomarginata","Abantis",NA,"Abantis arctomarginata",1901
"60","bamptoni","Abantis",NA,"Abantis bamptoni",1994
"72","bergeri","Abantis",NA,"Abantis bergeri",2009
"74","bicolor","Abantis",NA,"Abantis bicolor",1864
"78","bismarcki","Abantis",NA,"Abantis bismarcki",1892
"108","contigua","Abantis",NA,"Abantis contigua",1937
"124","efulensis","Abantis",NA,"Abantis efulensis",1896
"131","elegantula","Abantis",NA,"Abantis elegantula",1890
"156","eltringhami","Abantis",NA,"Abantis eltringhami",1932
"162","iruma","Abantis",NA,"Abantis iruma",1951
"164","ituri","Abantis",NA,"Abantis ituri",2014
"166","ja","Abantis",NA,"Abantis ja",1909
"178","ja","Abantis","usheri","Abantis ja",2008
"179","leucogaster","Abantis",NA,"Abantis leucogaster",1890
"205","leucogaster","Abantis","rotundala","Abantis leucogaster",2014
"207","lucretia","Abantis",NA,"Abantis lucretia",1909
"229","lucretia","Abantis","etoumbiensis","Abantis lucretia",1971
"230","lucretia","Abantis","lofu","Abantis lucretia",1910
"233","meneliki","Abantis",NA,"Abantis meneliki",1979
"238","meru","Abantis",NA,"Abantis meru",1947
"243","nigeriana","Abantis",NA,"Abantis nigeriana",1901
"265","nigeriana","Abantis","rougeoti","Abantis nigeriana",1960
"266","paradisea","Abantis",NA,"Abantis paradisea",1870
"298","pseudonigeriana","Abantis",NA,"Abantis pseudonigeriana",1984
"317","rubra","Abantis",NA,"Abantis rubra",1920
"328","tanobia","Abantis",NA,"Abantis tanobia",2005
"331","tettensis","Abantis",NA,"Abantis tettensis",1855
"358","venosa","Abantis",NA,"Abantis venosa",1889
"384","vidua","Abantis",NA,"Abantis vidua",1901
"389","zambesiaca","Abantis",NA,"Abantis zambesiaca",1874
"408","abnormis","Abisara",NA,"Abisara abnormis",1884
"431","bifasciata","Abisara",NA,"Abisara bifasciata",1877
"443","bifasciata","Abisara","angulata","Abisara bifasciata",1879
"444","bifasciata","Abisara","angustilineata","Abisara bifasciata",1964
"445","bifasciata","Abisara","lusi","Abisara bifasciata",1962
"446","bifasciata","Abisara","suffusa","Abisara bifasciata",1882
"449","burnii","Abisara",NA,"Abisara burnii",1895
"471","burnii","Abisara","assus","Abisara burnii",1914
"472","burnii","Abisara","etymander","Abisara burnii",1908
"473","burnii","Abisara","timaeus","Abisara burnii",1904
"485","cudaca","Abisara",NA,"Abisara cudaca",1914
"486","cudaca","Abisara","boholensis","Abisara cudaca",1993
"487","cudaca","Abisara","canlaonensis","Abisara cudaca",1994
"502","echerius","Abisara",NA,"Abisara echerius",1790
"536","echerius","Abisara","bazilensis","Abisara echerius",1900
"537","echerius","Abisara","bugiana","Abisara echerius",1904
"538","echerius","Abisara","cavana","Abisara echerius",1995
"539","echerius","Abisara","celebica","Abisara echerius",1886
"540","echerius","Abisara","clara","Abisara echerius",1950
"541","echerius","Abisara","laura","Abisara echerius",1904
"542","echerius","Abisara","lisa","Abisara echerius",1950
"543","echerius","Abisara","oenobarus","Abisara echerius",1929
"544","echerius","Abisara","paionea","Abisara echerius",1914
"545","echerius","Abisara","palawana","Abisara echerius",1889
"546","echerius","Abisara","panayensis","Abisara echerius",1994
"547","echerius","Abisara","porphyritica","Abisara echerius",1914
"548","echerius","Abisara","prunosa","Abisara echerius",1879
"549","echerius","Abisara","saleyra","Abisara echerius",1912
"550","echerius","Abisara","schedeli","Abisara echerius",1904
"551","echerius","Abisara","simillima","Abisara echerius",1995
"556","freda","Abisara",NA,"Abisara freda",1957
"563","freda","Abisara","daliensis","Abisara freda",1992
"564","fylla","Abisara",NA,"Abisara fylla",1851
"586","fylla","Abisara","magdala","Abisara fylla",1904
"588","fylloides","Abisara",NA,"Abisara fylloides",1901
"593","geza","Abisara",NA,"Abisara geza",1904
"599","geza","Abisara","aja","Abisara geza",1904
"600","geza","Abisara","disparilis","Abisara geza",1944
"601","geza","Abisara","litavicus","Abisara geza",1912
"602","geza","Abisara","niasana","Abisara geza",1904
"603","geza","Abisara","niya","Abisara geza",1914
"604","geza","Abisara","sura","Abisara geza",1950
"618","kausambi","Abisara",NA,"Abisara kausambi",1860
"627","kausambi","Abisara","asoka","Abisara kausambi",1950
"628","kausambi","Abisara","daphne","Abisara kausambi",1950
"629","kausambi","Abisara","paha","Abisara kausambi",1914
"630","kausambi","Abisara","sabina","Abisara kausambi",1924
"631","kausambi","Abisara","tina","Abisara kausambi",1904
"635","latifasciata","Abisara",NA,"Abisara latifasciata",1965
"648","mindanaensis","Abisara",NA,"Abisara mindanaensis",1892
"649","mindanaensis","Abisara","mudita","Abisara mindanaensis",1914
"652","miyazakii","Abisara","shigehoi","Abisara miyazakii",2005
"690","saturata","Abisara",NA,"Abisara saturata",1878
"704","saturata","Abisara","amaga","Abisara saturata",1914
"705","saturata","Abisara","baraka","Abisara saturata",1950
"706","saturata","Abisara","corbeti","Abisara saturata",1950
"707","saturata","Abisara","iliaca","Abisara saturata",1912
"708","saturata","Abisara","kausambioides","Abisara saturata",1896
"709","saturata","Abisara","maya","Abisara saturata",1950
"710","saturata","Abisara","meta","Abisara saturata",1904
"711","saturata","Abisara","stasinus","Abisara saturata",1912
"712","saturata","Abisara","tera","Abisara saturata",1904
"723","sobrina","Abisara",NA,"Abisara sobrina",1923
"758","davidii","Abraximorpha",NA,"Abraximorpha davidii",1876
"772","davidii","Abraximorpha","elfina","Abraximorpha davidii",1949
"773","davidii","Abraximorpha","ermasis","Abraximorpha davidii",1914
"775","esta","Abraximorpha",NA,"Abraximorpha esta",1949
"779","heringi","Abraximorpha",NA,"Abraximorpha heringi",1922
"782","pieridoides","Abraximorpha",NA,"Abraximorpha pieridoides",1994
"787","ganga","Abrota",NA,"Abrota ganga",1858
"800","ganga","Abrota","formosana","Abrota ganga",1909
"801","ganga","Abrota","pratti","Abrota ganga",1891
"805","annulifer","Acada",NA,"Acada annulifer",1892
"817","biseriata","Acada",NA,"Acada biseriata",1893
"856","anthea","Acerbas",NA,"Acerbas anthea",1868
"870","anthea","Acerbas","luzona","Acerbas anthea",1982
"871","anthea","Acerbas","pista","Acerbas anthea",1949
"872","anthea","Acerbas","tagiadoides","Acerbas anthea",1910
"873","azona","Acerbas",NA,"Acerbas azona",1866
"875","duris","Acerbas",NA,"Acerbas duris",1883
"878","duris","Acerbas","dorka","Acerbas duris",1949
"880","latefascia","Acerbas",NA,"Acerbas latefascia",1982
"882","martini","Acerbas",NA,"Acerbas martini",1887
"887","selta","Acerbas",NA,"Acerbas selta",1949
"888","suttoni","Acerbas",NA,"Acerbas suttoni",1984
"898","albociliatus","Achalarus",NA,"Achalarus albociliatus",1877
"912","albociliatus","Achalarus","leucophrys","Achalarus albociliatus",1898
"913","albociliatus","Achalarus","nocera","Achalarus albociliatus",1882
"915","casica","Achalarus",NA,"Achalarus casica",1869
"923","lyciades","Achalarus",NA,"Achalarus lyciades",1832
"928","tehuacana","Achalarus",NA,"Achalarus tehuacana",1922
"933","toxeus","Achalarus",NA,"Achalarus toxeus",1882
"983","busirus","Achlyodes",NA,"Achlyodes busirus",1779
"1014","busirus","Achlyodes","heros","Achlyodes busirus",1909
"1015","busirus","Achlyodes","negro","Achlyodes busirus",1921
"1016","busirus","Achlyodes","rioja","Achlyodes busirus",1953
"1070","pallida","Achlyodes",NA,"Achlyodes pallida",1869
"1120","bibundica","Acleros",NA,"Acleros bibundica",1913
"1123","bobiri","Acleros",NA,"Acleros bobiri",2008
"1131","leucopyga","Acleros",NA,"Acleros leucopyga",1877
"1133","mackenii","Acleros",NA,"Acleros mackenii",1868
"1156","mackenii","Acleros","instabilis","Acleros mackenii",1889
"1157","mackenii","Acleros","olaus","Acleros mackenii",1884
"1159","neavei","Acleros",NA,"Acleros neavei",1937
"1163","nigrapex","Acleros",NA,"Acleros nigrapex",1913
"1177","ploetzi","Acleros",NA,"Acleros ploetzi",1889
"1218","sparsum","Acleros",NA,"Acleros sparsum",1909
"1235","abdera","Acraea",NA,"Acraea abdera",1852
"1252","abdera","Acraea","eginopsis","Acraea abdera",1899
"1254","acara","Acraea",NA,"Acraea acara",1865
"1276","acerata","Acraea",NA,"Acraea acerata",1874
"1317","acrita","Acraea",NA,"Acraea acrita",1865
"1348","actinotina","Acraea",NA,"Acraea actinotina",1903
"1352","acuta","Acraea",NA,"Acraea acuta",1969
"1361","admatha","Acraea",NA,"Acraea admatha",1865
"1390","adrasta","Acraea",NA,"Acraea adrasta",1892
"1402","aganice","Acraea",NA,"Acraea aganice",1852
"1429","aganice","Acraea","montana","Acraea aganice",1888
"1430","aganice","Acraea","orientalis","Acraea aganice",1932
"1432","aglaonice","Acraea",NA,"Acraea aglaonice",1881
"1473","alcinoe","Acraea",NA,"Acraea alcinoe",1865
"1501","alcinoe","Acraea","nado","Acraea alcinoe",1932
"1503","alciope","Acraea",NA,"Acraea alciope",1852
"1529","alciopoides","Acraea",NA,"Acraea alciopoides",1921
"1536","alicia","Acraea",NA,"Acraea alicia",1890
"1550","althoffi","Acraea",NA,"Acraea althoffi",1889
"1564","amicitiae","Acraea",NA,"Acraea amicitiae",1909
"1584","anacreon","Acraea",NA,"Acraea anacreon",1868
"1613","anacreon","Acraea","chyulu","Acraea anacreon",1939
"1617","andromacha","Acraea",NA,"Acraea andromacha",1775
"1642","andromacha","Acraea","aenone","Acraea andromacha",1889
"1643","andromacha","Acraea","indica","Acraea andromacha",1885
"1644","andromacha","Acraea","polynesiaca","Acraea andromacha",1910
"1647","anemosa","Acraea",NA,"Acraea anemosa",1865
"1680","annonae","Acraea",NA,"Acraea annonae",1987
"1685","ansorgei","Acraea",NA,"Acraea ansorgei",1898
"1702","asboloplintha","Acraea",NA,"Acraea asboloplintha",1894
"1712","asema","Acraea",NA,"Acraea asema",1877
"1730","atatis","Acraea",NA,"Acraea atatis",2004
"1732","atergatis","Acraea",NA,"Acraea atergatis",1881
"1743","atolmis","Acraea",NA,"Acraea atolmis",1881
"1757","aubyni","Acraea",NA,"Acraea aubyni",1912
"1765","aurivillii","Acraea",NA,"Acraea aurivillii",1896
"1788","aurivillii","Acraea","schecana","Acraea aurivillii",1905
"1790","axina","Acraea",NA,"Acraea axina",1881
"1809","bailunduensis","Acraea",NA,"Acraea bailunduensis",1918
"1816","bana","Acraea",NA,"Acraea bana",2012
"1823","barberi","Acraea",NA,"Acraea barberi",1881
"1833","baxteri","Acraea",NA,"Acraea baxteri",1902
"1840","baxteri","Acraea","oldeani","Acraea baxteri",1990
"1844","bellona","Acraea",NA,"Acraea bellona",1908
"1859","bonasia","Acraea",NA,"Acraea bonasia",1775
"1892","boopis","Acraea",NA,"Acraea boopis",1914
"1908","boopis","Acraea","ama","Acraea boopis",1979
"1909","boopis","Acraea","choloui","Acraea boopis",1979
"1911","braesia","Acraea",NA,"Acraea braesia",1885
"1927","brainei","Acraea",NA,"Acraea brainei",1986
"1934","buettneri","Acraea",NA,"Acraea buettneri",1890
"1945","burgessi","Acraea",NA,"Acraea burgessi",1956
"1953","burni","Acraea",NA,"Acraea burni",1896
"1966","buschbecki","Acraea",NA,"Acraea buschbecki",1889
"1974","cabira","Acraea",NA,"Acraea cabira",1855
"1998","caldarena","Acraea",NA,"Acraea caldarena",1877
"2024","caldarena","Acraea","neluska","Acraea caldarena",1878
"2025","calida","Acraea",NA,"Acraea calida",1878
"2029","camaena","Acraea",NA,"Acraea camaena",1773
"2061","cepheus","Acraea",NA,"Acraea cepheus",1758
"2081","cepheus","Acraea","bergeriana","Acraea cepheus",1979
"2082","cerasa","Acraea",NA,"Acraea cerasa",1861
"2100","cerasa","Acraea","cerita","Acraea cerasa",1906
"2103","chaeribula","Acraea",NA,"Acraea chaeribula",1893
"2111","chambezi","Acraea",NA,"Acraea chambezi",1910
"2115","chilo","Acraea",NA,"Acraea chilo",1880
"2134","cinerea","Acraea",NA,"Acraea cinerea",1904
"2144","circeis","Acraea",NA,"Acraea circeis",1782
"2162","comor","Acraea",NA,"Acraea comor",1992
"2168","conradti","Acraea",NA,"Acraea conradti",1893
"2178","conradti","Acraea","kuekenthali","Acraea conradti",1922
"2179","consanguinea","Acraea",NA,"Acraea consanguinea",1893
"2198","consanguinea","Acraea","albicolor","Acraea consanguinea",1895
"2211","cuva","Acraea",NA,"Acraea cuva",1889
"2227","dammii","Acraea",NA,"Acraea dammii",1869
"2242","dewitzi","Acraea",NA,"Acraea dewitzi",1896
"2246","dice","Acraea",NA,"Acraea dice",1782
"2290","dice","Acraea","rosa","Acraea dice",1912
"2293","diogenes","Acraea",NA,"Acraea diogenes",1904
"2312","doubledayi","Acraea",NA,"Acraea doubledayi",1849
"2328","doubledayi","Acraea","azvaki","Acraea doubledayi",1981
"2331","ducarmei","Acraea",NA,"Acraea ducarmei",2012
"2339","egina","Acraea",NA,"Acraea egina",1775
"2378","egina","Acraea","bellehui","Acraea egina",1961
"2384","ella","Acraea",NA,"Acraea ella",1911
"2386","elongata","Acraea",NA,"Acraea elongata",1874
"2395","eltringhami","Acraea",NA,"Acraea eltringhami",1921
"2404","eltringhamiana","Acraea",NA,"Acraea eltringhamiana",1932
"2413","encedana","Acraea",NA,"Acraea encedana",1976
"2441","encedon","Acraea",NA,"Acraea encedon",1758
"2502","encedon","Acraea","rathjensi","Acraea encedon",1933
"2504","encoda","Acraea",NA,"Acraea encoda",1981
"2507","endoscota","Acraea",NA,"Acraea endoscota",1928
"2546","epaea","Acraea",NA,"Acraea epaea",1779
"2590","epaea","Acraea","homochroa","Acraea epaea",1905
"2591","epaea","Acraea","insulana","Acraea epaea",1995
"2592","epaea","Acraea","melina","Acraea epaea",1903
"2594","epiprotea","Acraea",NA,"Acraea epiprotea",1874
"2606","epitellus","Acraea",NA,"Acraea epitellus",1896
"2610","eponina","Acraea",NA,"Acraea eponina",1780
"2616","equatorialis","Acraea",NA,"Acraea equatorialis",1904
"2621","equatorialis","Acraea","anaemia","Acraea equatorialis",1912
"2627","esebria","Acraea",NA,"Acraea esebria",1861
"2653","eugenia","Acraea",NA,"Acraea eugenia",1893
"2667","excelsior","Acraea",NA,"Acraea excelsior",1891
"2674","excelsior","Acraea","usambarae","Acraea excelsior",1951
"2676","excisa","Acraea",NA,"Acraea excisa",1874
"2717","formosa","Acraea",NA,"Acraea formosa",1874
"2724","fornax","Acraea",NA,"Acraea fornax",1879
"2738","goetzei","Acraea",NA,"Acraea goetzei",1903
"2765","grosvenori","Acraea",NA,"Acraea grosvenori",1912
"2771","guichardi","Acraea",NA,"Acraea guichardi",1949
"2774","guillemei","Acraea",NA,"Acraea guillemei",1893
"2778","guluensis","Acraea",NA,"Acraea guluensis",1932
"2785","hamata","Acraea",NA,"Acraea hamata",1922
"2797","hecqui","Acraea",NA,"Acraea hecqui",1981
"2805","horta","Acraea",NA,"Acraea horta",1764
"2826","hova","Acraea",NA,"Acraea hova",1833
"2829","humilis","Acraea",NA,"Acraea humilis",1897
"2834","hypatia","Acraea",NA,"Acraea hypatia",1782
"2862","hypatia","Acraea","pudora","Acraea hypatia",1913
"2863","hypoleuca","Acraea",NA,"Acraea hypoleuca",1898
"2866","igati","Acraea",NA,"Acraea igati",1833
"2871","igola","Acraea",NA,"Acraea igola",1889
"2887","indentata","Acraea",NA,"Acraea indentata",1895
"2896","insignis","Acraea",NA,"Acraea insignis",1880
"2913","insularis","Acraea",NA,"Acraea insularis",1893
"2926","issoria","Acraea",NA,"Acraea issoria",1819
"2962","issoria","Acraea","formosana","Acraea issoria",1914
"2963","issoria","Acraea","larvalis","Acraea issoria",1985
"2964","issoria","Acraea","malleolus","Acraea issoria",1985
"2965","issoria","Acraea","narona","Acraea issoria",1914
"2966","issoria","Acraea","rubidus","Acraea issoria",1985
"2967","issoria","Acraea","sordice","Acraea issoria",1914
"2968","issoria","Acraea","vestita","Acraea issoria",1896
"2969","issoria","Acraea","vestoides","Acraea issoria",1901
"2970","issoria","Acraea","yunnana","Acraea issoria",1982
"2971","iturina","Acraea",NA,"Acraea iturina",1890
"2988","jodutta","Acraea",NA,"Acraea jodutta",1793
"3038","jodutta","Acraea","aethiops","Acraea jodutta",1905
"3040","johnstoni","Acraea",NA,"Acraea johnstoni",1885
"3063","kaduna","Acraea",NA,"Acraea kaduna",1993
"3066","kakana","Acraea",NA,"Acraea kakana",1911
"3068","kalinzu","Acraea",NA,"Acraea kalinzu",1936
"3074","kappa","Acraea",NA,"Acraea kappa",1979
"3082","kia","Acraea",NA,"Acraea kia",1990
"3094","kinduana","Acraea",NA,"Acraea kinduana",1979
"3098","kivuensis","Acraea",NA,"Acraea kivuensis",1927
"3102","kivuensis","Acraea","elgonense","Acraea kivuensis",1927
"3105","kraka","Acraea",NA,"Acraea kraka",1893
"3125","lapidorum","Acraea",NA,"Acraea lapidorum",1988
"3129","latiapicalis","Acraea",NA,"Acraea latiapicalis",1921
"3143","leopoldina","Acraea",NA,"Acraea leopoldina",1895
"3148","lequeuxi","Acraea",NA,"Acraea lequeuxi",2012
"3152","leucographa","Acraea",NA,"Acraea leucographa",1889
"3173","leucographa","Acraea","jolyi","Acraea leucographa",2009
"3175","leucopyga","Acraea",NA,"Acraea leucopyga",1904
"3184","lia","Acraea",NA,"Acraea lia",1879
"3196","lofua","Acraea",NA,"Acraea lofua",1911
"3200","loranae","Acraea",NA,"Acraea loranae",1987
"3203","lualabae","Acraea",NA,"Acraea lualabae",1910
"3207","lumiri","Acraea",NA,"Acraea lumiri",1908
"3220","lyci","Acraea",NA,"Acraea lyci",2006
"3225","lycoa","Acraea",NA,"Acraea lycoa",1819
"3256","lygus","Acraea",NA,"Acraea lygus",1875
"3267","macaria","Acraea",NA,"Acraea macaria",1793
"3295","macaria","Acraea","hemileuca","Acraea macaria",1914
"3296","macarista","Acraea",NA,"Acraea macarista",1906
"3309","machequena","Acraea",NA,"Acraea machequena",1887
"3326","mahela","Acraea",NA,"Acraea mahela",1833
"3334","manca","Acraea",NA,"Acraea manca",1904
"3339","mansya","Acraea",NA,"Acraea mansya",1911
"3351","masamba","Acraea",NA,"Acraea masamba",1872
"3353","masaris","Acraea",NA,"Acraea masaris",1893
"3355","masaris","Acraea","jodina","Acraea masaris",1992
"3357","matuapa","Acraea",NA,"Acraea matuapa",1889
"3373","melanoxantha","Acraea",NA,"Acraea melanoxantha",1891
"3387","mirabilis","Acraea",NA,"Acraea mirabilis",1886
"3394","miranda","Acraea",NA,"Acraea miranda",1920
"3402","mirifica","Acraea",NA,"Acraea mirifica",1906
"3413","moluccana","Acraea",NA,"Acraea moluccana",1860
"3419","moluccana","Acraea","buruensis","Acraea moluccana",1899
"3420","moluccana","Acraea","dohertyi","Acraea moluccana",1891
"3421","moluccana","Acraea","fumigata","Acraea moluccana",1886
"3422","moluccana","Acraea","halmera","Acraea moluccana",1928
"3423","moluccana","Acraea","laxus","Acraea moluccana",1985
"3424","moluccana","Acraea","nebulosa","Acraea moluccana",1861
"3425","moluccana","Acraea","parce","Acraea moluccana",1896
"3426","moluccana","Acraea","pella","Acraea moluccana",1907
"3437","natalica","Acraea",NA,"Acraea natalica",1847
"3473","necoda","Acraea",NA,"Acraea necoda",1861
"3479","neobule","Acraea",NA,"Acraea neobule",1847
"3560","newtoni","Acraea",NA,"Acraea newtoni",1893
"3575","niobe","Acraea",NA,"Acraea niobe",1893
"3579","nohara","Acraea",NA,"Acraea nohara",1847
"3595","nohara","Acraea","dondoensis","Acraea nohara",1934
"3596","nohara","Acraea","halali","Acraea nohara",1896
"3599","ntebiae","Acraea",NA,"Acraea ntebiae",1897
"3609","ntebiae","Acraea","kigoma","Acraea ntebiae",1978
"3614","obeira","Acraea",NA,"Acraea obeira",1863
"3617","oberthuerii","Acraea",NA,"Acraea oberthuerii",1895
"3620","oberthuerii","Acraea","laetopicta","Acraea oberthuerii",1914
"3621","obliqua","Acraea",NA,"Acraea obliqua",1913
"3649","ochrascens","Acraea",NA,"Acraea ochrascens",1902
"3653","odzalae","Acraea",NA,"Acraea odzalae",1997
"3658","omrora","Acraea",NA,"Acraea omrora",1894
"3665","omrora","Acraea","umbraetae","Acraea omrora",1988
"3666","oncaea","Acraea",NA,"Acraea oncaea",1855
"3690","onerata","Acraea",NA,"Acraea onerata",1891
"3694","oreas","Acraea",NA,"Acraea oreas",1891
"3717","oreas","Acraea","oboti","Acraea oreas",2000
"3718","orestia","Acraea",NA,"Acraea orestia",1874
"3741","orina","Acraea",NA,"Acraea orina",1874
"3751","orinata","Acraea",NA,"Acraea orinata",1893
"3784","oscari","Acraea",NA,"Acraea oscari",1902
"3788","overlaeti","Acraea",NA,"Acraea overlaeti",1988
"3795","paragea","Acraea",NA,"Acraea paragea",1900
"3802","paragea","Acraea","kivuana","Acraea paragea",1910
"3806","parrhasia","Acraea",NA,"Acraea parrhasia",1793
"3834","parrhasia","Acraea","servona","Acraea parrhasia",1819
"3838","peetersi","Acraea",NA,"Acraea peetersi",1992
"3842","pelopeia","Acraea",NA,"Acraea pelopeia",1896
"3853","peneleos","Acraea",NA,"Acraea peneleos",1871
"3877","peneleos","Acraea","gelonica","Acraea peneleos",1905
"3879","penelope","Acraea",NA,"Acraea penelope",1896
"3899","penelope","Acraea","derubescens","Acraea penelope",1912
"3900","pentapolis","Acraea",NA,"Acraea pentapolis",1871
"3935","pentapolis","Acraea","epidica","Acraea pentapolis",1893
"3937","perenna","Acraea",NA,"Acraea perenna",1847
"3979","perenna","Acraea","kaffana","Acraea perenna",1902
"3980","periphanes","Acraea",NA,"Acraea periphanes",1893
"3991","persanguinea","Acraea",NA,"Acraea persanguinea",1914
"3997","petraea","Acraea",NA,"Acraea petraea",1847
"4014","pharsalus","Acraea",NA,"Acraea pharsalus",1871
"4053","pierrei","Acraea",NA,"Acraea pierrei",1981
"4058","poggei","Acraea",NA,"Acraea poggei",1879
"4074","poggei","Acraea","ras","Acraea poggei",1932
"4075","polis","Acraea",NA,"Acraea polis",1999
"4096","pseudatolmis","Acraea",NA,"Acraea pseudatolmis",1912
"4098","pseudegina","Acraea",NA,"Acraea pseudegina",1852
"4145","pseudepaea","Acraea",NA,"Acraea pseudepaea",1909
"4152","pseudeuryta","Acraea",NA,"Acraea pseudeuryta",1890
"4159","pseudolycia","Acraea",NA,"Acraea pseudolycia",1874
"4173","pseudolycia","Acraea","astrigera","Acraea pseudolycia",1899
"4177","pudorella","Acraea",NA,"Acraea pudorella",1899
"4189","pudorella","Acraea","detecta","Acraea pudorella",1910
"4190","pudorina","Acraea",NA,"Acraea pudorina",1885
"4197","punctellata","Acraea",NA,"Acraea punctellata",1912
"4202","punctimarginea","Acraea",NA,"Acraea punctimarginea",1956
"4206","quadricolor","Acraea",NA,"Acraea quadricolor",1891
"4226","quirinalis","Acraea",NA,"Acraea quirinalis",1900
"4236","rabbaiae","Acraea",NA,"Acraea rabbaiae",1873
"4254","rabbaiae","Acraea","perlucida","Acraea rabbaiae",1996
"4258","rahira","Acraea",NA,"Acraea rahira",1833
"4283","rahira","Acraea","mufindi","Acraea rahira",1990
"4285","ranavalona","Acraea",NA,"Acraea ranavalona",1833
"4291","rangatana","Acraea",NA,"Acraea rangatana",1912
"4305","rangatana","Acraea","bettiana","Acraea rangatana",1921
"4306","rangatana","Acraea","ecketti","Acraea rangatana",1951
"4307","rangatana","Acraea","maji","Acraea rangatana",1935
"4311","regalis","Acraea",NA,"Acraea regalis",1893
"4315","rhodesiana","Acraea",NA,"Acraea rhodesiana",1909
"4324","rileyi","Acraea",NA,"Acraea rileyi",1931
"4327","rogersi","Acraea",NA,"Acraea rogersi",1873
"4347","rohlfsi","Acraea",NA,"Acraea rohlfsi",1904
"4369","rupicola","Acraea",NA,"Acraea rupicola",1912
"4374","safie","Acraea",NA,"Acraea safie",1865
"4381","sambavae","Acraea",NA,"Acraea sambavae",1873
"4384","saronis","Acraea",NA,"Acraea saronis",1819
"4386","satis","Acraea",NA,"Acraea satis",1871
"4405","scalivittata","Acraea",NA,"Acraea scalivittata",1896
"4412","schubotzi","Acraea",NA,"Acraea schubotzi",1912
"4422","semivitrea","Acraea",NA,"Acraea semivitrea",1895
"4438","serena","Acraea",NA,"Acraea serena",1775
"4498","severina","Acraea",NA,"Acraea severina",2012
"4500","severina","Acraea","terreirovelhoensis","Acraea severina",2012
"4507","silia","Acraea",NA,"Acraea silia",1885
"4520","sotikensis","Acraea",NA,"Acraea sotikensis",1892
"4549","sotikensis","Acraea","karschi","Acraea sotikensis",1899
"4552","stenobea","Acraea",NA,"Acraea stenobea",1860
"4566","strattipocles","Acraea",NA,"Acraea strattipocles",1893
"4580","supponina","Acraea",NA,"Acraea supponina",1896
"4586","sykesi","Acraea",NA,"Acraea sykesi",1902
"4614","tellus","Acraea",NA,"Acraea tellus",1893
"4641","tellus","Acraea","eumelis","Acraea tellus",1910
"4648","terpsicore","Acraea",NA,"Acraea terpsicore",1758
"4676","toruna","Acraea",NA,"Acraea toruna",1900
"4690","turlini","Acraea",NA,"Acraea turlini",1979
"4694","turna","Acraea",NA,"Acraea turna",1877
"4699","umbra","Acraea",NA,"Acraea umbra",1782
"4722","umbra","Acraea","macarioides","Acraea umbra",1893
"4729","ungemachi","Acraea",NA,"Acraea ungemachi",1927
"4733","unimaculata","Acraea",NA,"Acraea unimaculata",1898
"4744","utengulensis","Acraea",NA,"Acraea utengulensis",1903
"4748","uvui","Acraea",NA,"Acraea uvui",1890
"4766","uvui","Acraea","balina","Acraea uvui",1892
"4771","ventura","Acraea",NA,"Acraea ventura",1877
"4789","vesperalis","Acraea",NA,"Acraea vesperalis",1890
"4803","vestalis","Acraea",NA,"Acraea vestalis",1865
"4838","vestalis","Acraea","congoensis","Acraea vestalis",1937
"4846","violarum","Acraea",NA,"Acraea violarum",1847
"4858","violarum","Acraea","gracilis","Acraea violarum",1909
"4860","viviana","Acraea",NA,"Acraea viviana",1896
"4870","vuilloti","Acraea",NA,"Acraea vuilloti",1888
"4876","welwitschii","Acraea",NA,"Acraea welwitschii",1893
"4881","wigginsi","Acraea",NA,"Acraea wigginsi",1904
"4904","wigginsi","Acraea","occidentalis","Acraea wigginsi",1926
"4910","zetes","Acraea",NA,"Acraea zetes",1758
"4947","zetes","Acraea","annobona","Acraea zetes",1980
"4948","zetes","Acraea","sidamona","Acraea zetes",1905
"4951","zitja","Acraea",NA,"Acraea zitja",1833
"4953","zonata","Acraea",NA,"Acraea zonata",1877
"4963","zoumi","Acraea",NA,"Acraea zoumi",1995
"4966","arcana","Acrodipsas",NA,"Acrodipsas arcana",1978
"4968","aurata","Acrodipsas",NA,"Acrodipsas aurata",1997
"4970","brisbanensis","Acrodipsas",NA,"Acrodipsas brisbanensis",1884
"4973","cuprea","Acrodipsas",NA,"Acrodipsas cuprea",1965
"4975","decima","Acrodipsas",NA,"Acrodipsas decima",2004
"4976","hirtipes","Acrodipsas",NA,"Acrodipsas hirtipes",1980
"4979","illidgei","Acrodipsas",NA,"Acrodipsas illidgei",1914
"4983","melania","Acrodipsas",NA,"Acrodipsas melania",1980
"4986","mortoni","Acrodipsas",NA,"Acrodipsas mortoni",1997
"4988","myrmecophila","Acrodipsas",NA,"Acrodipsas myrmecophila",1913
