accid,canonical,taxonRank,status,authorship,id,group
0,Adelomyrmex_striatus,species,accepted,"Fernandez, 2003",430495,ants
0,Adelomyrmex_tristani,species,accepted,"(Menozzi, 1931)",430496,ants
0,Adelomyrmex_vaderi,species,accepted,"Fernandez, 2003",430497,ants
0,Adetomyrma_aureocuprea,species,accepted,"Yoshimura & Fisher, 2012",430498,ants
0,Adetomyrma_bressleri,species,accepted,"Yoshimura & Fisher, 2012",430499,ants
0,Adetomyrma_caputleae,species,accepted,"Yoshimura & Fisher, 2012",430500,ants
0,Adetomyrma_cassis,species,accepted,"Yoshimura & Fisher, 2012",430501,ants
0,Adetomyrma_caudapinnigera,species,accepted,"Yoshimura & Fisher, 2012",430502,ants
0,Adetomyrma_cilium,species,accepted,"Yoshimura & Fisher, 2012",430503,ants
0,Adetomyrma_clarivida,species,accepted,"Yoshimura & Fisher, 2012",430504,ants
0,Adetomyrma_goblin,species,accepted,"Yoshimura & Fisher, 2012",430505,ants
0,Adetomyrma_venatrix,species,accepted,"Ward, 1994",430506,ants
0,Adlerzia_froggatti,species,accepted,"(Forel, 1902)",430507,ants
0,Aenictogiton_attenuatus,species,accepted,"Santschi, 1919",430510,ants
0,Aenictogiton_bequaerti,species,accepted,"Forel, 1913",430511,ants
0,Aenictogiton_elongatus,species,accepted,"Santschi, 1919",430512,ants
0,Aenictogiton_emeryi,species,accepted,"Forel, 1913",430513,ants
0,Aenictogiton_fossiceps,species,accepted,"Emery, 1901",430514,ants
0,Aenictogiton_schoutedeni,species,accepted,"Santschi, 1924",430515,ants
0,Aenictogiton_sulcatus,species,accepted,"Santschi, 1919",430516,ants
0,Aenictus_abeillei,species,accepted,"(Andre, 1886)",430517,ants
0,Aenictus_acerbus,species,accepted,"Shattuck, 2008",430518,ants
0,Aenictus_aitkenii,species,accepted,"Forel, 1901",430519,ants
0,Aenictus_alluaudi,species,accepted,"Santschi, 1910",430520,ants
0,Aenictus_alticola,species,accepted,"Wheeler, 1930",430521,ants
0,Aenictus_ambiguus,species,accepted,"Shuckard, 1840",430522,ants
0,Aenictus_anceps,species,accepted,"Forel, 1910",430523,ants
0,Aenictus_furculatus_andrieui,species,accepted,"Santschi, 1930",430524,ants
0,Aenictus_annae,species,accepted,"Forel, 1911",430525,ants
0,Aenictus_aratus,species,accepted,"Forel, 1900",430526,ants
0,Aenictus_artipus,species,accepted,"Wilson, 1964",430527,ants
0,Aenictus_arya,species,accepted,"Forel, 1901",430528,ants
0,Aenictus_asantei,species,accepted,"Campione et al., 1983",430529,ants
0,Aenictus_gibbosus_ashaverus,species,accepted,"Forel, 1913",430531,ants
0,Aenictus_asperivalvus,species,accepted,"Santschi, 1919",430532,ants
0,Aenictus_clavatus_atripennis,species,accepted,"Forel, 1913",430533,ants
0,Aenictus_bakeri,species,accepted,"Menozzi, 1925",430534,ants
0,Aenictus_bayoni,species,accepted,"Menozzi, 1932",430536,ants
0,Aenictus_binghamii,species,accepted,"Forel, 1900",430539,ants
0,Aenictus_biroi,species,accepted,"Forel, 1907",430540,ants
0,Aenictus_bobaiensis,species,accepted,"Zhou & Chen, 1999",430541,ants
0,Aenictus_bodongjaya,species,accepted,"Jaitrong & Yamane, 2011",430542,ants
0,Aenictus_bottegoi,species,accepted,"Emery, 1899",430544,ants
0,Aenictus_brazzai,species,accepted,"Santschi, 1910",430545,ants
0,Aenictus_breviceps,species,accepted,"Forel, 1912",430546,ants
0,Aenictus_brevicornis,species,accepted,"(Mayr, 1879)",430547,ants
0,Aenictus_brevinodus,species,accepted,"Jaitrong & Yamane, 2011",430548,ants
0,Aenictus_soudanicus_brunneus,species,accepted,"Forel, 1913",430549,ants
0,Aenictus_buttelreepeni,species,accepted,"Forel, 1913",430550,ants
0,Aenictus_buttgenbachi,species,accepted,"Forel, 1913",430551,ants
0,Aenictus_camposi,species,accepted,"Wheeler & Chapman, 1925",430552,ants
0,Aenictus_eugenii_caroli,species,accepted,"Forel, 1910",430553,ants
0,Aenictus_carolianus,species,accepted,"Zettel & Sorger, 2010",430554,ants
0,Aenictus_certus,species,accepted,"Westwood, 1842",430555,ants
0,Aenictus_ceylonicus,species,accepted,"(Mayr, 1866)",430556,ants
0,Aenictus_changmaianus,species,accepted,"Terayama & Kubota, 1993",430557,ants
0,Aenictus_chapmani,species,accepted,"Wilson, 1964",430558,ants
0,Aenictus_humeralis_chevalieri,species,accepted,"Santschi, 1910",430559,ants
0,Aenictus_clavatus,species,accepted,"Forel, 1901",430560,ants
0,Aenictus_clavitibia,species,accepted,"Forel, 1901",430561,ants
0,Aenictus_congolensis,species,accepted,"Santschi, 1911",430562,ants
0,Aenictus_cornutus,species,accepted,"Forel, 1900",430564,ants
0,Aenictus_crucifer,species,accepted,"Santschi, 1914",430565,ants
0,Aenictus_currax,species,accepted,"Emery, 1900",430566,ants
0,Aenictus_decolor,species,accepted,"(Mayr, 1879)",430567,ants
0,Aenictus_dentatus,species,accepted,"Forel, 1911",430568,ants
0,Aenictus_diclops,species,accepted,"Shattuck, 2008",430570,ants
0,Aenictus_dlusskyi,species,accepted,"Arnol'di, 1968",430571,ants
0,Aenictus_doryloides,species,accepted,"Wilson, 1964",430572,ants
0,Aenictus_doydeei,species,accepted,"Jaitrong & Yamane, 2011",430573,ants
0,Aenictus_duengkaei,species,accepted,"Jaitrong & Yamane, 2012",430574,ants
0,Aenictus_eugenii,species,accepted,"Emery, 1895",430576,ants
0,Aenictus_exilis,species,accepted,"Wilson, 1964",430578,ants
0,Aenictus_clavitibia_facetus,species,accepted,"Forel, 1911",430579,ants
0,Aenictus_alluaudi_falcifer,species,accepted,"Santschi, 1924",430580,ants
0,Aenictus_feae,species,accepted,"Emery, 1889",430581,ants
0,Aenictus_fergusoni,species,accepted,"Forel, 1901",430582,ants
0,Aenictus_foreli,species,accepted,"Santschi, 1919",430583,ants
0,Aenictus_formosensis,species,accepted,"Forel, 1913",430584,ants
0,Aenictus_fuchuanensis,species,accepted,"Zhou, 2001",430586,ants
0,Aenictus_fulvus,species,accepted,"Jaitrong & Yamane, 2011",430587,ants
0,Aenictus_latiscapus_fumatus,species,accepted,"Wheeler, 1927",430588,ants
0,Aenictus_furculatus,species,accepted,"Santschi, 1919",430589,ants
0,Aenictus_furibundus,species,accepted,"Arnold, 1959",430590,ants
0,Aenictus_fuscipennis,species,accepted,"Forel, 1913",430591,ants
0,Aenictus_fuscovarius,species,accepted,"Gerstacker, 1859",430592,ants
0,Aenictus_gibbosus,species,accepted,"Dalla Torre, 1893",430594,ants
0,Aenictus_glabratus,species,accepted,"Jaitrong & Nur-Zati, 2010",430595,ants
0,Aenictus_glabrinotum,species,accepted,"Jaitrong & Yamane, 2011",430596,ants
0,Aenictus_gleadowii,species,accepted,"Forel, 1901",430597,ants
0,Aenictus_gracilis,species,accepted,"Emery, 1893",430598,ants
0,Aenictus_grandis,species,accepted,"Bingham, 1903",430599,ants
0,Aenictus_rotundatus_guineensis,species,accepted,"Santschi, 1924",430601,ants
0,Aenictus_hamifer,species,accepted,"Emery, 1896",430602,ants
0,Aenictus_henanensis,species,accepted,"Li & Wang, 2005",430603,ants
0,Aenictus_eugenii_henrii,species,accepted,"Santschi, 1924",430604,ants
0,Aenictus_hilli,species,accepted,"Clark, 1928",430605,ants
0,Aenictus_hodgsoni,species,accepted,"Forel, 1901",430606,ants
0,Aenictus_hottai,species,accepted,"Terayama & Yamane, 1989",430607,ants
0,Aenictus_humeralis,species,accepted,"Santschi, 1910",430608,ants
0,Aenictus_huonicus,species,accepted,"Wilson, 1964",430609,ants
0,Aenictus_icarus,species,accepted,"Forel, 1911",430610,ants
0,Aenictus_idoneus,species,accepted,"Menozzi, 1928",430611,ants
0,Aenictus_icarus_incautus,species,accepted,"Forel, 1911",430613,ants
0,Aenictus_inconspicuus,species,accepted,"Westwood, 1845",430614,ants
0,Aenictus_inflatus,species,accepted,"Yamane & Hashimoto, 1999",430615,ants
0,Aenictus_jacobsoni,species,accepted,"Forel, 1909",430616,ants
0,Aenictus_jarujini,species,accepted,"Jaitrong & Yamane, 2010",430617,ants
0,Aenictus_javanus,species,accepted,"Emery, 1896",430618,ants
0,Aenictus_clavatus_kanariensis,species,accepted,"Forel, 1901",430619,ants
0,Aenictus_fuscovarius_laetior,species,accepted,"Forel, 1910",430622,ants
0,Aenictus_laeviceps,species,accepted,"(Smith, 1857)",430623,ants
0,Aenictus_latifemoratus,species,accepted,"Terayama & Yamane, 1989",430624,ants
0,Aenictus_latiscapus,species,accepted,"Forel, 1901",430625,ants
0,Aenictus_leliepvrei,species,accepted,"Bernard, 1953",430627,ants
0,Aenictus_leptotyphlatta,species,accepted,"Jaitrong & Eguchi, 2010",430628,ants
0,Aenictus_levior,species,accepted,"(Karavaiev, 1926)",430629,ants
0,Aenictus_lifuiae,species,accepted,"Terayama, 1984",430630,ants
0,Aenictus_longi,species,accepted,"Forel, 1901",430631,ants
0,Aenictus_longinodus,species,accepted,"Jaitrong & Yamane, 2012",430632,ants
0,Aenictus_luteus,species,accepted,"Emery, 1892",430633,ants
0,Aenictus_luzoni,species,accepted,"Wheeler & Chapman, 1925",430634,ants
0,Aenictus_fuscovarius_magrettii,species,accepted,"Emery, 1892",430635,ants
0,Aenictus_mariae,species,accepted,"Emery, 1895",430636,ants
0,Aenictus_mauritanicus,species,accepted,"Santschi, 1910",430638,ants
0,Aenictus_sumatrensis_maxillosus,species,accepted,"Forel, 1913",430639,ants
0,Aenictus_mentu,species,accepted,"Weber, 1942",430640,ants
0,Aenictus_rotundatus_merwei,species,accepted,"Santschi, 1932",430641,ants
0,Aenictus_minutulus,species,accepted,"Terayama & Yamane, 1989",430642,ants
0,Aenictus_mocsaryi,species,accepted,"Emery, 1901",430643,ants
0,Aenictus_moebii,species,accepted,"Emery, 1895",430644,ants
0,Aenictus_luteus_moestus,species,accepted,"Santschi, 1930",430645,ants
0,Aenictus_montivagus,species,accepted,"Jaitrong & Yamane, 2011",430647,ants
0,Aenictus_mutatus,species,accepted,"Santschi, 1913",430648,ants
0,Aenictus_mariae_natalensis,species,accepted,"Emery, 1901",430649,ants
0,Aenictus_nesiotis,species,accepted,"Wheeler & Chapman, 1930",430650,ants
0,Aenictus_nganduensis,species,accepted,"Wilson, 1964",430651,ants
0,Aenictus_nishimurai,species,accepted,"Terayama & Kubota, 1993",430652,ants
0,Aenictus_bottegoi_noctivagus,species,accepted,"Santschi, 1913",430653,ants
0,Aenictus_obscurus,species,accepted,"Smith, 1865",430654,ants
0,Aenictus_orientalis,species,accepted,"(Karavaiev, 1926)",430655,ants
0,Aenictus_pachycerus,species,accepted,"(Smith, 1858)",430656,ants
0,Aenictus_pangantihoni,species,accepted,"Zettel & Sorger, 2010",430657,ants
